Learner,CA,AUC,Precision(average=macro),Recall(average=macro),F1(average=macro),MCC
"NNClassificationLearner(hidden_layer_sizes=[50, 50], max_iter=300, random_state=42)",0.8175735294117648,0.9683313819074384,0.7559915043854328,0.7425264475448299,0.7482832574158368,0.761009542740321
"NNClassificationLearner(hidden_layer_sizes=[50, 50], alpha=0.001, random_state=42)",0.8121323529411765,0.9691590546763357,0.7506034711630468,0.7382731586224233,0.7425902056785615,0.754263154776627
"NNClassificationLearner(hidden_layer_sizes=[50, 50], alpha=0.001, max_iter=300, random_state=42)",0.8102205882352941,0.9684084605032603,0.7451942402626095,0.732157386458857,0.7380596932580566,0.7514178247367033
"SVMLearner(C=0.1, kernel='linear')",0.8145588235294118,0.8760215082641457,0.7518245170343184,0.7333985356963298,0.7413491562397385,0.7568471211538469
"SVMLearner(C=1, kernel='linear')",0.8148529411764706,0.8764061325025705,0.7522475798473569,0.7346084715937656,0.7421991714171794,0.7573141002764037
"SVMLearner(C=10, kernel='linear')",0.8150735294117647,0.87655192523135,0.7524947838887001,0.7349849694151165,0.7425565370131593,0.757601735653747
"SVMLearner(C=0.1, gamma='scale')",0.7977205882352941,0.8620829560626756,0.7392797719827193,0.7048054403385287,0.718183686572468,0.7337175621231177
"SVMLearner(C=0.1, gamma=0.01)",0.7995588235294118,0.8636358404567148,0.7409365760844465,0.7076978590581531,0.720997297888625,0.7362470983865839
"SVMLearner(C=0.1, gamma=0.001)",0.7627205882352941,0.8362033079602831,0.6777866566324914,0.6394809996648232,0.6253218785461482,0.6875188976295972
"SVMLearner(C=1, gamma='scale')",0.8110294117647059,0.8732197940485873,0.7510574412546965,0.7302612284229931,0.7392492978279298,0.7520175704132567
"SVMLearner(C=1, gamma=0.01)",0.8132352941176471,0.8745947537637543,0.754592478736647,0.7330586978381096,0.7423633405841114,0.7548953359201155
"SVMLearner(C=1, gamma=0.001)",0.8091911764705882,0.871092371203634,0.7504545829610286,0.7226199828221885,0.7337386476185728,0.7493192932099009
"SVMLearner(C=10, gamma='scale')",0.7900735294117647,0.861043703288777,0.7213674095967244,0.7094135977040388,0.7145897506494054,0.7251668418184849
"SVMLearner(C=10, gamma=0.01)",0.804264705882353,0.8699859770414818,0.7400175071764683,0.7253887003519357,0.731814577716786,0.7436286287304334
"SVMLearner(C=10, gamma=0.001)",0.8150735294117647,0.8760037637543929,0.7540859125956677,0.733776395173454,0.7425103372903394,0.7573916655770594
"SVMLearner(C=0.1, kernel='sigmoid', gamma='scale', coef0=0)",0.8084558823529412,0.8706578705053637,0.7472385941817129,0.7200720630132394,0.7305916544521079,0.7483732819095086
"SVMLearner(C=0.1, kernel='sigmoid', gamma='scale', coef0=1)",0.7897058823529411,0.8588999746781051,0.7266419033280712,0.6986271367521367,0.7067407171970469,0.7240880851328716
"SVMLearner(C=0.1, kernel='sigmoid', gamma=0.01, coef0=0)",0.8040441176470589,0.8672681895612406,0.7458457457218938,0.7151981209150327,0.7272406517061829,0.7423846383822698
"SVMLearner(C=0.1, kernel='sigmoid', gamma=0.01, coef0=1)",0.7895588235294118,0.8567020533754853,0.7310678604989471,0.6914627849002849,0.7039859404763078,0.7230428263453282
"SVMLearner(C=1, kernel='sigmoid', gamma='scale', coef0=0)",0.7745588235294117,0.8510372385322508,0.700145706084332,0.6911837502094856,0.6944324278496609,0.704935972208198
"SVMLearner(C=1, kernel='sigmoid', gamma='scale', coef0=1)",0.7080147058823529,0.8109384831417566,0.634186505396451,0.6348003079436902,0.6324522621068548,0.6205689818415786
"SVMLearner(C=1, kernel='sigmoid', gamma=0.01, coef0=0)",0.8102205882352941,0.8728735363177359,0.7467032177935726,0.726522959611195,0.7348795129808589,0.7510414657994045
"SVMLearner(C=1, kernel='sigmoid', gamma=0.01, coef0=1)",0.7591911764705882,0.8417448703979376,0.6945446869437926,0.686647498743087,0.6896550071307316,0.6852265919826371
"SVMLearner(C=10, kernel='sigmoid', gamma='scale', coef0=0)",0.7622794117647059,0.8440425446202482,0.6793180413795996,0.6749903112954584,0.6750302339398809,0.6896670247607259
"SVMLearner(C=10, kernel='sigmoid', gamma='scale', coef0=1)",0.6972794117647059,0.8033721282669082,0.6212987011711956,0.624320114798056,0.6213773076365685,0.6060086941108491
"SVMLearner(C=10, kernel='sigmoid', gamma=0.01, coef0=0)",0.7766176470588235,0.852515308236522,0.6994370647281012,0.6903039634657282,0.6934495871545395,0.7077591373334758
"SVMLearner(C=10, kernel='sigmoid', gamma=0.01, coef0=1)",0.7245588235294118,0.8211482903884225,0.6467792299995082,0.6475336224233282,0.64469191125301,0.6415732734852115
