Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=10)",0.8301286764705882,0.8279918980351121,0.7774264662674273,0.8265328292466336,0.9612852553205742,0.8301286764705882
"TreeLearner(binarize=True, max_depth=20, min_samples_leaf=20, min_samples_split=10, sufficient_majority=0.9)",0.8274632352941177,0.8250925863639065,0.7738443789267526,0.8235580440370314,0.960866917791915,0.8274632352941177
"GBClassifier(min_impurity_split=<?>, random_state=0, presort=<?>)",0.8686948529411764,0.8672240047855179,0.828034169300176,0.8667791790299355,0.9848665748454113,0.8686948529411764
"GBClassifier(min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8685661764705882,0.8671212838267063,0.8278690583357077,0.8667024473158383,0.9848652568782967,0.8685661764705882
"GBClassifier(max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8739705882352942,0.8728088596931061,0.8350328207858373,0.8723244601539607,0.9862521620479127,0.8739705882352942
"GBClassifier(min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8734558823529411,0.8722758431147054,0.8343556394756345,0.8717323970547196,0.9862315294710918,0.8734558823529411
"GBClassifier(learning_rate=0.3, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8783823529411765,0.8772586293240368,0.8408262129669213,0.8767124972562086,0.9870128089159758,0.8783823529411765
"GBClassifier(learning_rate=0.3, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8786213235294118,0.8775327875868973,0.8411483009380525,0.8770178910177184,0.9870256333090288,0.8786213235294118
"GBClassifier(learning_rate=0.3, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8782352941176471,0.8772931304823415,0.8406605348212894,0.8767874004175464,0.9861840731779491,0.8782352941176471
"GBClassifier(learning_rate=0.3, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8777022058823529,0.876721356893456,0.8399578785247723,0.8762283003067959,0.9860092267677538,0.8777022058823529
"GBClassifier(learning_rate=0.5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8800183823529412,0.8790034652574912,0.8429774942563505,0.8785153352114528,0.9868627286065533,0.8800183823529412
"GBClassifier(learning_rate=0.5, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8811213235294117,0.8801185128147667,0.8444173366065598,0.8796136158519595,0.986884360898898,0.8811213235294117
"GBClassifier(learning_rate=0.5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8735661764705882,0.8727793728051272,0.8346108530470063,0.8723638650289446,0.9832621782136126,0.8735661764705882
"GBClassifier(learning_rate=0.5, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8736764705882353,0.8728437600819385,0.834721594154967,0.8723861890040593,0.9836209623623433,0.8736764705882353
"GBClassifier(n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8754044117647058,0.8742397086890927,0.8368962966720174,0.8738103538576545,0.9867471966671975,0.8754044117647058
"GBClassifier(n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8758639705882353,0.8747526182430473,0.8375149523640322,0.8743872082325735,0.9867449843337702,0.8758639705882353
"GBClassifier(n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.880202205882353,0.8792469589743581,0.8432230596454763,0.8787568501308266,0.9871357933202162,0.880202205882353
"GBClassifier(n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8793566176470589,0.8783644409349227,0.8421230841212101,0.8778563519183958,0.9870474846748369,0.8793566176470589
"GBClassifier(learning_rate=0.3, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8822794117647059,0.8813507603832231,0.8459536810862136,0.8809076902117203,0.9875074199344587,0.8822794117647059
"GBClassifier(learning_rate=0.3, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8826838235294118,0.8818084468018844,0.846488577754398,0.8814216318195865,0.9875444061028955,0.8826838235294118
"GBClassifier(learning_rate=0.3, n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8790441176470588,0.8781369712049611,0.8417284608586949,0.8776974840832723,0.9860590474674524,0.8790441176470588
"GBClassifier(learning_rate=0.3, n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8787867647058824,0.8779119486507376,0.841394979694644,0.8774880893865433,0.9857159874598225,0.8787867647058824
"GBClassifier(learning_rate=0.5, n_estimators=200, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8810661764705883,0.8802247823555982,0.844382145094337,0.8798165770028086,0.9867081780083377,0.8810661764705883
"GBClassifier(learning_rate=0.5, n_estimators=200, min_samples_split=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8824264705882353,0.8815702376573279,0.8461654851197404,0.8811321662854154,0.9868094410803144,0.8824264705882353
"GBClassifier(learning_rate=0.5, n_estimators=200, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8754779411764706,0.8746161320535051,0.8370948246560759,0.8742183450985904,0.9834799764668024,0.8754779411764706
"GBClassifier(learning_rate=0.5, n_estimators=200, min_samples_split=5, max_depth=5, min_impurity_split=<?>, random_state=0, presort=<?>)",0.8757352941176471,0.8749740232865368,0.8374339914710058,0.8745953415993272,0.9834282330338086,0.8757352941176471
"NNClassificationLearner(hidden_layer_sizes=[100], random_state=1)",0.811139705882353,0.8093053739196605,0.7528119652864217,0.8078289462763367,0.9691800231364147,0.811139705882353
"NNClassificationLearner(hidden_layer_sizes=[100], max_iter=300, random_state=1)",0.810110294117647,0.8087613974272497,0.7515279642247511,0.8077409313695267,0.9691824831947644,0.810110294117647
"NNClassificationLearner(hidden_layer_sizes=[100], max_iter=500, random_state=1)",0.8119852941176471,0.8101499493190389,0.7538546715651242,0.8087170363747057,0.9696972564653489,0.8119852941176471
"NNClassificationLearner(hidden_layer_sizes=[100], alpha=0.001, random_state=1)",0.8120588235294117,0.8102600634577457,0.7539479489315827,0.8088402481979322,0.9695779222569865,0.8120588235294117
